PointOfInterest, Latitude,Longitude
airport,34.875,-116.99667
airport,33.31056,-116.99806
airport,33.18611,-117.00194
airport,32.77972,-117.00583
airport,34.89333,-117.01833
airport,33.73389,-117.0225
airport,32.61944,-117.02306
airport,34.45444,-117.02639
airport,32.99806,-117.05639
airport,33.50694,-117.07139
airport,34.035,-117.07361
airport,34.56083,-117.08056
airport,32.68389,-117.08167
airport,32.59389,-117.08472
airport,33.25889,-117.09222
airport,32.71972,-117.0975
airport,33.64556,-117.11
airport,32.56639,-117.11194
airport,33.57611,-117.12806
airport,34.85306,-117.13111
airport,34.85667,-117.13694
airport,32.81583,-117.14028
airport,34.08472,-117.14444
airport,32.725,-117.14472
airport,34.22833,-117.145
airport,32.71528,-117.15056
airport,32.77083,-117.15639
airport,36.60389,-117.15917
airport,32.75111,-117.16028
airport,34.26528,-117.16806
airport,32.82306,-117.16889
airport,34.60194,-117.1725
airport,34.57889,-117.18611
airport,32.73333,-117.1875
airport,33.56194,-117.19167
airport,32.90139,-117.20472
airport,32.87389,-117.2125
airport,33.76083,-117.21833
airport,33.78778,-117.23
airport,34.09528,-117.23444
airport,33.5925,-117.23722
airport,33.565,-117.23861
airport,33.56556,-117.23972
airport,32.90889,-117.2425
airport,32.9,-117.25083
airport,33.35417,-117.25083
airport,34.05,-117.26444
airport,34.58361,-117.26667
airport,34.12778,-117.2675
airport,34.54278,-117.26778
airport,34.10333,-117.27194
airport,33.12806,-117.28028
airport,33.18528,-117.29111
airport,33.63278,-117.29778
airport,34.82722,-117.30222
airport,33.50278,-117.305
airport,34.14167,-117.31528
airport,34.37722,-117.31583
airport,34.13056,-117.32167
airport,35.81222,-117.32722
airport,34.00806,-117.335
airport,34.71194,-117.35083
airport,33.21778,-117.35194
airport,34.36861,-117.37
airport,33.97917,-117.375
airport,33.9825,-117.37583
airport,34.12917,-117.40139
airport,33.98972,-117.41056
airport,34.14694,-117.42194
airport,33.85306,-117.42389
airport,34.0725,-117.43194
airport,34.10167,-117.43333
airport,34.54778,-117.43639
airport,33.95167,-117.445
airport,34.53722,-117.46056
airport,34.75778,-117.49667
airport,34.56917,-117.55361
airport,33.87306,-117.5675
airport,33.61333,-117.59111
airport,33.89361,-117.5975
airport,34.05583,-117.60111
airport,33.8975,-117.60222
airport,34.62472,-117.605
airport,35.00333,-117.60694
airport,33.55444,-117.6075
airport,35.59111,-117.63361
airport,33.975,-117.63667
airport,34.62972,-117.65333
airport,33.56056,-117.66639
airport,35.64083,-117.67139
airport,35.61028,-117.67167
airport,34.56528,-117.67389
airport,34.11139,-117.68639
airport,35.03028,-117.70833
airport,33.60806,-117.71
airport,33.57222,-117.72639
airport,34.50222,-117.74917
airport,34.515,-117.76194
airport,36.80694,-117.78111
airport,34.09139,-117.78167
airport,34.0525,-117.79333
airport,34.10444,-117.79972
airport,34.49056,-117.82361
airport,34.58861,-117.82583
airport,35.65861,-117.82944
airport,33.69389,-117.83167
airport,33.67778,-117.83694
airport,33.69333,-117.8375
airport,33.67278,-117.84611
airport,33.91806,-117.84833
airport,33.84806,-117.85
airport,33.67056,-117.8575
airport,33.78167,-117.865
airport,33.68444,-117.86528
airport,33.75361,-117.86778
airport,33.67556,-117.86806
airport,34.13333,-117.86917
airport,33.62639,-117.87722
airport,33.68806,-117.87778
airport,33.86111,-117.88222
airport,33.78861,-117.89028
airport,33.82722,-117.90194
airport,33.66306,-117.90417
airport,33.69389,-117.91694
airport,33.865,-117.91694
airport,33.76694,-117.9175
airport,34.01972,-117.92833
airport,33.62417,-117.92944
airport,33.715,-117.93583
airport,34.00417,-117.93694
airport,34.02444,-117.95917
airport,33.87833,-117.96417
airport,33.88083,-117.965
airport,34.02806,-117.965
airport,34.86389,-117.96528
airport,33.87194,-117.97972
airport,36.28139,-117.99861
airport,33.74528,-118
airport,33.67778,-118.00028
airport,33.695,-118.00139
airport,35.15167,-118.01389
airport,33.67917,-118.02833
airport,33.74722,-118.03444
airport,34.08583,-118.03472
airport,34.13333,-118.0425
airport,33.66222,-118.04444
airport,36.58806,-118.05194
airport,34.01389,-118.05278
airport,34.69972,-118.05917
airport,33.66167,-118.06194
airport,33.91333,-118.06972
airport,34.07083,-118.07167
airport,33.91361,-118.07306
airport,35.98972,-118.08028
airport,33.82611,-118.08361
airport,33.75778,-118.08472
airport,33.75694,-118.0875
airport,33.755,-118.09333
airport,36.02194,-118.09528
airport,34.71556,-118.10139
airport,34.48583,-118.11583
airport,33.56389,-118.1175
airport,33.77583,-118.11944
airport,33.92333,-118.12639
airport,33.5825,-118.12889
airport,33.85083,-118.13333
airport,34.64722,-118.14556
airport,33.80722,-118.14611
airport,34.08083,-118.14917
airport,34.12389,-118.15056
airport,35.05806,-118.15083
airport,33.8175,-118.15139
airport,34.03778,-118.15361
airport,34.13361,-118.15361
airport,33.98667,-118.16056
airport,34.94222,-118.16972
airport,34.17278,-118.17083
airport,34.20472,-118.17083
airport,34.19722,-118.17389
airport,33.77889,-118.18583
airport,33.80833,-118.18722
airport,33.755,-118.19472
airport,33.76472,-118.19944
airport,33.77778,-118.19944
airport,34.05389,-118.20167
airport,33.93028,-118.2025
airport,34.65056,-118.20472
airport,36.81361,-118.205
airport,34.87056,-118.20917
airport,34.00083,-118.21278
airport,34.20417,-118.2175
airport,34.74083,-118.21889
airport,34.03972,-118.22833
airport,34.05444,-118.22917
airport,34.15167,-118.23
airport,34.06028,-118.23028
airport,35.38111,-118.23083
airport,34.05806,-118.23556
airport,34.05222,-118.24111
airport,34.05111,-118.2425
airport,34.05417,-118.2425
airport,33.89,-118.24361
airport,34.05194,-118.24472
airport,34.05861,-118.24556
airport,34.05056,-118.24611
airport,34.04333,-118.24694
airport,34.04444,-118.24917
airport,34.06222,-118.25083
airport,34.04917,-118.25333
airport,34.05361,-118.25333
airport,34.04778,-118.25444
airport,34.15722,-118.25444
airport,34.05278,-118.25583
airport,34.04028,-118.25611
airport,34.15556,-118.25639
airport,34.05139,-118.25694
airport,34.03722,-118.25806
airport,34.04917,-118.25917
airport,34.07778,-118.25944
airport,34.05556,-118.26139
airport,33.83417,-118.26167
airport,34.04639,-118.2625
airport,34.05361,-118.26444
airport,34.05444,-118.265
airport,34.04167,-118.27167
airport,34.06389,-118.2725
airport,33.74917,-118.27472
airport,33.73194,-118.27583
airport,33.85639,-118.27722
airport,34.79389,-118.2775
airport,34.10333,-118.2825
airport,34.69444,-118.28306
airport,34.1575,-118.28472
airport,34.43806,-118.2875
airport,34.28944,-118.28806
airport,34.09611,-118.29028
airport,34.09639,-118.29028
airport,34.06194,-118.29111
airport,34.06972,-118.29222
airport,34.90528,-118.30167
airport,33.73861,-118.31056
airport,33.33833,-118.31194
airport,33.85639,-118.3125
airport,33.90611,-118.31278
airport,34.50389,-118.31278
airport,33.34167,-118.31611
airport,34.15556,-118.32889
airport,34.15361,-118.33139
airport,33.92278,-118.335
airport,33.80333,-118.33944
airport,33.84361,-118.33972
airport,34.04694,-118.3425
airport,34.0625,-118.35222
airport,34.20056,-118.35833
airport,33.92222,-118.36278
airport,37.37444,-118.36694
airport,37.36556,-118.3675
airport,34.08333,-118.37583
airport,34.07389,-118.37722
airport,33.95333,-118.38083
airport,33.85278,-118.38139
airport,33.98,-118.38222
airport,33.89694,-118.38278
airport,34.28111,-118.38389
airport,33.9325,-118.38472
airport,33.76056,-118.38833
airport,33.73694,-118.39361
airport,33.91694,-118.395
airport,33.93028,-118.39694
airport,33.93028,-118.39806
airport,34.83167,-118.40083
airport,35.70528,-118.40556
airport,34.12667,-118.40694
airport,33.9425,-118.40806
airport,34.97722,-118.4125
airport,34.25972,-118.41333
airport,34.25972,-118.41333
airport,34.38139,-118.41444
airport,33.40472,-118.41583
airport,34.06083,-118.4175
airport,35.71917,-118.41917
airport,34.29111,-118.41944
airport,35.72806,-118.41972
airport,35.10083,-118.42222
airport,35.10083,-118.42306
airport,33.96611,-118.42417
airport,33.91417,-118.42694
airport,34.0625,-118.4325
airport,35.13528,-118.43972
airport,34.03611,-118.44194
airport,34.065,-118.4425
airport,34.05889,-118.44361
airport,34.04472,-118.44472
airport,34.04778,-118.445
airport,34.18333,-118.4475
airport,34.16,-118.44944
airport,33.98444,-118.45
airport,34.01556,-118.45111
airport,34.03306,-118.4525
airport,34.04889,-118.45556
airport,34.27972,-118.46139
airport,34.305,-118.46444
airport,37.20194,-118.47611
airport,34.56583,-118.47667
airport,35.39806,-118.48306
airport,34.96278,-118.4875
airport,34.20972,-118.48972
airport,34.13083,-118.49056
airport,35.40694,-118.5
airport,33.43222,-118.50806
airport,34.14167,-118.52611
airport,34.25694,-118.53139
airport,34.22,-118.53306
airport,34.19389,-118.54722
airport,34.41583,-118.55167
airport,34.39833,-118.5525
airport,34.23861,-118.56556
airport,34.23889,-118.56917
airport,34.16861,-118.59444
airport,34.17556,-118.595
airport,34.46639,-118.59528
airport,35.11361,-118.59806
airport,34.17889,-118.59917
airport,34.51722,-118.59944
airport,34.2375,-118.62583
airport,34.06194,-118.64694
airport,34.03722,-118.68806
airport,34.04444,-118.69389
airport,34.23778,-118.69611
airport,34.15028,-118.69806
airport,34.26861,-118.71778
airport,34.7675,-118.73167
airport,36.14972,-118.80222
airport,34.14167,-118.8175
airport,35.25667,-118.83333
airport,36.49556,-118.83417
airport,34.24667,-118.83528
airport,37.62389,-118.83861
airport,37.62722,-118.84889
airport,35.40639,-118.85278
airport,34.04167,-118.85306
airport,35.17972,-118.855
airport,34.08333,-118.8675
airport,34.2075,-118.88222
airport,34.19722,-118.90861
airport,34.98889,-118.91444
airport,34.19583,-118.91611
airport,34.15806,-118.91778
airport,35.38389,-118.96889
airport,35.32472,-118.99583
airport,35.39083,-119.00611
airport,35.38333,-119.01972
airport,35.26306,-119.04556
airport,36.16222,-119.05
airport,35.43333,-119.05667
airport,34.76083,-119.05889
airport,34.34694,-119.06111
airport,36.02944,-119.0625
airport,34.21361,-119.09417
airport,37.95806,-119.10639
airport,36.39861,-119.10722
airport,35.59639,-119.1275
airport,36.90611,-119.12861
airport,36.7175,-119.13694
airport,36.24278,-119.14944
airport,34.21667,-119.15778
airport,35.79278,-119.18389
airport,34.20556,-119.18556
airport,35.50583,-119.19139
airport,35.36778,-119.19472
airport,34.20222,-119.20278
airport,34.20056,-119.20694
airport,38.26333,-119.22194
airport,35.79083,-119.23
airport,38.25306,-119.23056
airport,35.74556,-119.23639
airport,37.20083,-119.25139
airport,37.3475,-119.25556
airport,34.27472,-119.25694
airport,38.27222,-119.28778
airport,35.10583,-119.30694
airport,35.96028,-119.30806
airport,36.79194,-119.30917
airport,36.4425,-119.31556
airport,36.54,-119.31611
airport,36.44833,-119.31889
airport,36.15611,-119.32611
airport,35.61944,-119.35361
airport,35.70389,-119.37639
airport,36.31861,-119.39278
airport,36.70889,-119.40472
airport,35.05417,-119.41
airport,36.76694,-119.43583
airport,35.14083,-119.44111
airport,36.66694,-119.44861
airport,36.66611,-119.44972
airport,35.13861,-119.45083
airport,34.93528,-119.45167
airport,36.60667,-119.46333
airport,35.3525,-119.47861
airport,37.06472,-119.48417
airport,35.69139,-119.48861
airport,36.84972,-119.51
airport,37.09972,-119.5175
airport,34.92194,-119.52583
airport,36.08861,-119.5425
airport,36.26694,-119.54306
airport,36.73194,-119.55444
airport,36.59889,-119.55944
airport,34.33278,-119.56111
airport,36.56583,-119.56778
airport,34.28639,-119.58889
airport,36.10222,-119.59472
airport,35.68667,-119.59972
airport,34.33083,-119.60417
airport,36.39972,-119.6175
airport,36.31833,-119.62861
airport,36.58306,-119.63972
airport,36.275,-119.64056
airport,36.04556,-119.64667
airport,36.58139,-119.65833
airport,36.32972,-119.65944
airport,36.86083,-119.66333
airport,36.82361,-119.66833
airport,36.52111,-119.67
airport,35.62333,-119.68611
airport,34.93722,-119.68833
airport,36.77611,-119.71806
airport,36.67306,-119.72139
airport,35.46778,-119.72194
airport,36.70417,-119.73861
airport,36.73694,-119.75361
airport,36.71917,-119.75972
airport,36.51417,-119.76389
airport,38.73583,-119.76611
airport,36.91417,-119.78556
airport,34.43333,-119.80944
airport,36.16,-119.81333
airport,36.73222,-119.81972
airport,36.33306,-119.825
airport,36.8475,-119.82528
airport,34.42611,-119.84028
airport,36.20389,-119.84083
airport,36.15667,-119.84944
airport,34.01972,-119.85278
airport,37.34028,-119.86194
airport,36.84,-119.87028
airport,35.64889,-119.88139
airport,36.46639,-119.88417
airport,36.12056,-119.88833
airport,34.38944,-119.90583
airport,34.43,-119.91194
airport,37.11778,-119.91306
airport,34.06056,-119.915
airport,36.13167,-119.98556
airport,37.12056,-119.98778
airport,38.89361,-119.99528
airport,35.31361,-120
airport,38.84139,-120.00083
airport,41.16889,-120.00389
airport,35.63611,-120.00917
airport,34.58722,-120.01333
airport,36.71222,-120.03
airport,38.45861,-120.03972
airport,37.51056,-120.04167
airport,41.3075,-120.04194
airport,34.62194,-120.06528
airport,34.60667,-120.07556
airport,38.14417,-120.08417
airport,36.20083,-120.08611
airport,34.38833,-120.10083
airport,36.33861,-120.11
airport,36.98556,-120.11194
airport,34.39056,-120.12139
airport,36.70333,-120.13528
airport,39.32,-120.13944
airport,36.00389,-120.14222
airport,37.05694,-120.14361
airport,41.87611,-120.14667
airport,39.08639,-120.16
airport,41.5525,-120.16611
airport,36.90528,-120.17722
airport,37.86139,-120.17833
airport,40.13861,-120.17861
airport,37.88,-120.19333
airport,39.32389,-120.2
airport,36.24778,-120.2375
airport,36.94139,-120.2425
airport,37.11222,-120.24667
airport,36.33583,-120.24722
airport,36.58306,-120.25083
airport,36.42472,-120.26528
airport,37.19083,-120.27611
airport,37.34972,-120.29389
airport,38.95139,-120.29944
airport,35.59472,-120.33861
airport,38.19139,-120.35278
airport,39.58083,-120.35417
airport,39.81806,-120.35556
airport,36.16028,-120.36028
airport,40.80306,-120.36639
airport,36.75778,-120.37111
airport,37.0725,-120.37806
airport,37.52333,-120.3975
airport,37.3425,-120.40333
airport,38.03444,-120.41194
airport,34.95056,-120.4125
airport,38.03028,-120.41444
airport,34.94306,-120.42472
airport,34.98333,-120.43111
airport,39.65111,-120.43833
airport,34.89889,-120.45722
airport,34.98806,-120.45778
airport,36.85972,-120.46444
airport,36.99833,-120.46444
airport,37.08028,-120.46611
airport,34.66556,-120.46667
airport,38.3275,-120.47694
airport,37.23167,-120.47861
airport,37.08861,-120.50083
airport,37.28444,-120.51361
airport,35.40472,-120.525
airport,41.24,-120.52583
airport,41.32694,-120.5325
airport,38.76,-120.53611
airport,38.08306,-120.54111
airport,35.66889,-120.54833
airport,38.76833,-120.54861
airport,37.85944,-120.55417
airport,41.48278,-120.56528
airport,37.04972,-120.56583
airport,39.46222,-120.56583
airport,37.06528,-120.56667
airport,37.37861,-120.56694
airport,40.37667,-120.57278
airport,35.185,-120.58972
airport,37.33444,-120.605
airport,35.10111,-120.62194
airport,35.67278,-120.62694
airport,36.96222,-120.63
airport,35.23694,-120.64222
airport,34.455,-120.64722
airport,38.14611,-120.64806
airport,35.25222,-120.66056
airport,41.52222,-120.66389
airport,36.89972,-120.6675
airport,38.1925,-120.67417
airport,34.46889,-120.68167
airport,41.41222,-120.68417
airport,37.48722,-120.69667
airport,34.49472,-120.70306
airport,39.27472,-120.70917
airport,38.74194,-120.7175
airport,35.55472,-120.71917
airport,38.69611,-120.73111
airport,38.79972,-120.73417
airport,35.32639,-120.7425
airport,38.72417,-120.75306
airport,40.65028,-120.76833
airport,38.37667,-120.79389
airport,35.56806,-120.79722
airport,37.75611,-120.8
airport,38.69472,-120.82694
airport,38.84972,-120.83417
airport,37.51194,-120.83917
airport,37.47056,-120.84389
airport,35.64528,-120.84861
airport,38.92083,-120.86444
airport,37.32472,-120.8675
airport,37.06278,-120.86917
airport,35.95639,-120.86944
airport,38.43972,-120.88778
airport,37.72333,-120.88972
airport,38.75389,-120.89889
airport,36.02583,-120.9075
airport,38.81722,-120.92222
airport,38.26361,-120.92306
airport,37.38806,-120.92722
airport,40.13306,-120.93
airport,38.25611,-120.93139
airport,39.94361,-120.94667
airport,39.98306,-120.95083
airport,41.18694,-120.95389
airport,37.62556,-120.95417
airport,39.94028,-120.95917
airport,37.2625,-120.96306
airport,37.84556,-120.96472
airport,38.33722,-120.97306
airport,38.68389,-120.98694
airport,39.22389,-121.00222
airport,38.43028,-121.01472
airport,37.935,-121.01528
airport,40.30639,-121.035
airport,39.23306,-121.05083
airport,38.93444,-121.05278
airport,39.11361,-121.05639
airport,39.19972,-121.05917
airport,38.46889,-121.075
airport,38.88778,-121.075
airport,39.32472,-121.07583
airport,38.9525,-121.08167
airport,38.48861,-121.10222
airport,35.6075,-121.11
airport,38.00333,-121.11833
airport,36.22944,-121.12056
airport,41.13944,-121.12361
airport,37.05806,-121.12583
airport,38.01361,-121.12583
airport,36.20806,-121.13139
airport,36.51,-121.135
airport,37.64028,-121.16139
airport,38.10944,-121.16889
airport,37.46833,-121.16917
airport,38.42667,-121.17139
airport,38.8275,-121.17583
airport,36.32806,-121.18639
airport,37.66778,-121.19833
airport,37.54778,-121.20472
airport,38.06722,-121.2075
airport,39.22056,-121.21472
airport,38.65722,-121.21889
airport,38.13444,-121.21944
airport,36.44694,-121.22
airport,38.23028,-121.22194
airport,38.42333,-121.22722
airport,37.97944,-121.22861
airport,38.41056,-121.23472
airport,36.46639,-121.235
airport,37.89389,-121.23806
airport,40.28722,-121.23861
airport,40.2875,-121.24083
airport,40.28833,-121.24306
airport,38.30389,-121.25083
airport,38.28278,-121.25444
airport,38.60333,-121.26333
airport,38.20278,-121.26806
airport,38.20222,-121.26917
airport,39.96639,-121.28417
airport,37.8875,-121.28472
airport,38.12222,-121.28667
airport,39.45528,-121.29111
airport,37.67889,-121.29944
airport,38.33417,-121.30333
airport,36.36306,-121.31
airport,38.43583,-121.31472
airport,38.08389,-121.31611
airport,38.03167,-121.31944
airport,37.67028,-121.3275
airport,38.39361,-121.33194
airport,38.72417,-121.33472
airport,36.87139,-121.33694
airport,38.90889,-121.35111
airport,38.09139,-121.35917
airport,39.29972,-121.35917
airport,39.32472,-121.35917
airport,41.88722,-121.35917
airport,36.46694,-121.37
airport,38.79194,-121.37278
airport,38.5475,-121.37944
airport,38.72889,-121.38917
airport,36.89,-121.40694
airport,39.19222,-121.41972
airport,38.30472,-121.42944
airport,41.01861,-121.43306
airport,38.34111,-121.43722
airport,37.68889,-121.44167
airport,38.67583,-121.44528
airport,38.55444,-121.45222
airport,38.00389,-121.45639
airport,36.95306,-121.46528
airport,39.56639,-121.4675
airport,38.86639,-121.48417
airport,36.62611,-121.49111
airport,38.5125,-121.49333
airport,38.44278,-121.50778
airport,38.63806,-121.515
airport,38.76917,-121.51889
airport,38.83472,-121.52944
airport,38.21639,-121.53417
airport,38.21306,-121.54306
airport,38.59139,-121.545
airport,38.59861,-121.56028
airport,38.84,-121.56139
airport,38.75389,-121.56278
airport,39.15917,-121.56917
airport,39.0975,-121.56972
airport,37.03556,-121.57139
airport,38.74694,-121.5725
airport,39.46,-121.58028
airport,38.79139,-121.58417
airport,38.75917,-121.585
airport,38.69528,-121.59056
airport,37.08167,-121.59667
airport,36.66306,-121.60611
airport,39.12639,-121.60889
airport,39.70944,-121.61611
airport,36.66972,-121.61694
airport,39.48972,-121.61944
airport,37.83583,-121.63694
airport,39.22472,-121.63833
airport,40.89444,-121.64972
airport,37.98722,-121.65917
airport,36.7,-121.65972
airport,38.17083,-121.68889
airport,37.66111,-121.69333
airport,39.28583,-121.69389
airport,39.45944,-121.69583
airport,38.81639,-121.70083
airport,38.87194,-121.70972
airport,39.09556,-121.71611
airport,38.83306,-121.7175
airport,36.48167,-121.73
airport,38.61528,-121.74722
airport,36.68111,-121.76167
airport,39.4975,-121.77111
airport,40.34417,-121.77444
airport,36.93972,-121.77583
airport,39.68861,-121.78361
airport,38.53139,-121.78639
airport,36.93556,-121.78944
airport,37.10806,-121.79722
airport,40.52194,-121.8175
airport,37.33278,-121.81972
airport,37.69333,-121.82028
airport,38.38111,-121.82333
airport,38.66528,-121.82528
airport,36.58694,-121.84278
airport,36.90583,-121.84278
airport,36.58889,-121.84722
airport,39.74222,-121.84972
airport,39.10306,-121.85
airport,38.57889,-121.85639
airport,39.79528,-121.85833
airport,36.97028,-121.86194
airport,39.72056,-121.8675
airport,38.67361,-121.87194
airport,41.7425,-121.87833
airport,37.37333,-121.88
airport,40.44556,-121.88194
airport,39.10917,-121.88361
airport,38.40583,-121.905
airport,39.07472,-121.9175
airport,37.36194,-121.92778
airport,39.09972,-121.93417
airport,37.31389,-121.935
airport,36.98028,-121.94028
airport,38.35556,-121.95111
airport,38.37667,-121.96222
airport,37.77167,-121.97194
airport,37.38528,-121.97222
airport,38.26917,-121.975
airport,41.88694,-121.97556
airport,37.55611,-121.97806
airport,37.54778,-121.98
airport,36.99028,-121.9825
airport,39.17889,-121.99333
airport,39.94972,-121.99667
airport,38.32833,-122.01778
airport,37.80306,-122.02861
airport,37.9125,-122.03972
airport,38.45806,-122.04528
airport,39.20083,-122.04833
airport,37.98944,-122.05694
airport,37.63306,-122.08833
airport,39.3525,-122.09361
airport,39.01083,-122.0975
airport,37.46083,-122.11472
airport,37.65917,-122.12222
airport,41.27306,-122.12222
airport,38.17333,-122.12306
airport,37.07028,-122.12722
airport,39.78889,-122.12861
airport,39.16333,-122.13139
airport,40.15611,-122.13528
airport,38.71639,-122.13833
airport,39.72111,-122.14639
airport,37.76667,-122.15083
airport,37.15278,-122.15833
airport,39.94361,-122.17111
airport,37.43528,-122.17472
airport,39.28833,-122.18889
airport,37.92111,-122.19528
airport,39.57889,-122.20083
airport,38.45806,-122.205
airport,39.51611,-122.2175
airport,37.72111,-122.22056
airport,37.51083,-122.24944
airport,40.15083,-122.25222
airport,38.59139,-122.25917
airport,37.80056,-122.26472
airport,41.26306,-122.27194
airport,37.08778,-122.27333
airport,37.80222,-122.27361
airport,38.21306,-122.28056
airport,40.50889,-122.29333
airport,37.54833,-122.3
airport,37.78472,-122.30028
airport,40.52194,-122.30361
airport,41.61694,-122.31917
airport,40.5775,-122.32194
airport,40.7575,-122.32333
airport,37.91361,-122.33222
airport,37.95389,-122.33694
airport,40.34611,-122.33889
airport,40.67583,-122.34639
airport,38.74917,-122.36722
airport,37.61889,-122.37472
airport,40.49833,-122.3775
airport,37.59,-122.38333
airport,40.01583,-122.38972
airport,38.61056,-122.39111
airport,40.57194,-122.395
airport,37.77472,-122.405
airport,40.57472,-122.40806
airport,37.81056,-122.41444
airport,38.46167,-122.41444
airport,37.825,-122.42056
airport,38.2575,-122.43417
airport,38.57833,-122.435
airport,38.47,-122.44528
airport,38.22333,-122.44944
airport,41.47472,-122.45306
airport,41.78139,-122.46806
airport,39.26889,-122.48
airport,37.94639,-122.48694
airport,37.71917,-122.49861
airport,37.51361,-122.50083
airport,38.05889,-122.50778
airport,37.87889,-122.51333
airport,37.87972,-122.51333
airport,38.01667,-122.52056
airport,41.73028,-122.54556
airport,38.14417,-122.55778
airport,38.43444,-122.56333
airport,38.71639,-122.5675
airport,38.57889,-122.57306
airport,40.08028,-122.57694
airport,39.58583,-122.58111
airport,38.185,-122.60194
airport,38.2575,-122.605
airport,39.57194,-122.60917
airport,38.93444,-122.62222
airport,38.93444,-122.62306
airport,38.87167,-122.67611
airport,38.87056,-122.67861
airport,40.98306,-122.69417
airport,38.44361,-122.70111
airport,38.9775,-122.7175
airport,38.785,-122.75222
airport,41.62472,-122.765
airport,39.00278,-122.79667
airport,38.56917,-122.80361
airport,38.50889,-122.81278
airport,41.88611,-122.84444
airport,41.55806,-122.85528
airport,38.65306,-122.89778
airport,38.99,-122.89944
airport,40.74556,-122.92194
airport,39.44972,-122.95528
airport,38.77583,-122.99139
airport,38.77417,-122.99194
airport,40.54694,-123.18167
airport,39.12583,-123.20083
airport,40.3175,-123.25389
airport,39.79,-123.26639
airport,40.21111,-123.2975
airport,39.45083,-123.37
airport,39.0125,-123.38278
airport,41.79056,-123.38889
airport,40.14111,-123.39806
airport,40.14306,-123.39833
airport,40.02111,-123.40278
airport,38.70444,-123.4325
airport,40.6275,-123.47056
airport,38.80111,-123.53028
airport,38.78778,-123.55361
airport,38.85944,-123.59056
airport,40.49278,-123.59972
airport,41.04278,-123.66833
airport,39.26139,-123.75056
airport,39.26194,-123.75361
airport,39.47417,-123.79556
airport,40.08583,-123.81361
airport,40.71917,-123.9275
airport,41.84556,-123.98444
airport,41.51194,-123.99556
airport,41.51528,-124.01167
airport,40.0275,-124.07333
airport,40.97806,-124.10861
airport,40.80417,-124.11472
airport,40.55389,-124.1325
airport,41.93778,-124.18944
airport,40.78028,-124.21056
airport,40.78083,-124.21222
airport,41.77917,-124.23472
airport,41.78,-124.23639
arch,35.23944,-115.74778
arch,34.88194,-116.09972
arch,36.285,-116.76444
arch,34.95111,-116.84194
arch,32.85111,-117.2725
arch,33.48889,-117.73611
arch,33.62028,-117.9225
arch,36.35917,-118.37389
arch,34.03944,-118.57556
arch,37.44694,-119.07278
arch,34.00667,-119.39889
